Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.250.194.35-172.16.81.146-443-59925-6,142.250.194.35,443,172.16.81.146,59925,6,27/09/2021 02:32:44 pm,385,0,2,0.0,73.0,0,0,0,0,73.0,0.0,36.5,51.61879502661797,189610.38961038963,5194.805194805195,385.0,0.0,385.0,385.0,0,0,0,0,0,385.0,385.0,0.0,385.0,385.0,0,1,0,0,0,40,0.0,5194.805194805195,0.0,73.0,48.66666666666667,42.14656965084268,1776.3333333333333,0,0,0,1,1,0,0,0,0.0,73.0,0.0,36.5,0,0,0,0,0,0,0,0,2,73,-1,1022,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.146-74.125.158.105-63316-443-6,172.16.81.146,63316,74.125.158.105,443,6,27/09/2021 02:32:53 pm,1935459,115,282,581.0,380797.0,517.0,0.0,5.052173913043478,48.526506317765,1408.0,0.0,1350.3439716312062,263.58694389517694,197047.83206464202,205.11930244970313,4887.522727272732,42039.95456039395,570891.0,0.0,1896846.0,16639.000000000004,84054.5690172317,616199.0,19.0,1923621.0,6845.626334519573,49795.62753838954,570891.0,0.0,0,0,0,0,2300,5664,59.41743018064449,145.70187226905867,0.0,1408.0,958.236180904523,651.5848916528175,424562.871030214,0,1,0,0,0,0,0,0,2.0,960.6498740554156,5.052173913043478,1350.3439716312057,0,0,0,0,0,0,115,581,282,380797,-1,330,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.146-216.58.200.168-51675-443-6,172.16.81.146,51675,216.58.200.168,443,6,27/09/2021 02:32:48 pm,14731103,1,3,0.0,74.0,0.0,0.0,0.0,0.0,73.0,0.0,24.666666666666668,41.86088070422472,5.0233848748461,0.2715343175592486,4910367.666666666,8459285.600949133,1.4678263E7,373.0,0,0,0,0,0,1.473073E7,7365365.0,1.0341999531851081E7,1.4678263E7,52467.0,0,0,0,0,20,72,0.06788357938981215,0.20365073816943646,0.0,73.0,15.0,32.42684073418192,1051.5,0,0,0,0,1,0,0,0,3.0,18.75,0.0,24.666666666666668,0,0,0,0,0,0,1,0,3,74,-1,271,0,0,52467.0,0.0,52467.0,52467.0,1.4678263E7,0.0,1.4678263E7,1.4678263E7,No Label
142.250.192.238-172.16.81.146-443-60922-6,172.16.81.146,60922,142.250.192.238,443,6,27/09/2021 02:32:54 pm,14771324,1,3,0.0,74.0,0.0,0.0,0.0,0.0,73.0,0.0,24.666666666666668,41.86088070422472,5.00970664511861,0.27079495379019514,4923774.666666666,8495998.37047397,1.4734086E7,399.0,0,0,0,0,0,1.4770925E7,7385462.5,1.0392523018473642E7,1.4734086E7,36839.0,0,0,0,0,20,72,0.06769873844754878,0.20309621534264632,0.0,73.0,15.0,32.42684073418192,1051.5,0,0,0,0,1,0,0,0,3.0,18.75,0.0,24.666666666666668,0,0,0,0,0,0,1,0,3,74,-1,311,0,0,36839.0,0.0,36839.0,36839.0,1.4734086E7,0.0,1.4734086E7,1.4734086E7,No Label
172.217.167.3-172.16.81.146-443-49334-6,172.16.81.146,49334,172.217.167.3,443,6,27/09/2021 02:32:32 pm,59792976,2,4,1.0,74.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,18.5,36.33639130862245,1.2543279331003694,0.10034623464802955,1.19585952E7,1.9539937038874988E7,4.5013492E7,600.0,1.4739663E7,1.4739663E7,0.0,1.4739663E7,1.4739663E7,5.9792376E7,1.9930792E7,2.2958431095606055E7,4.5053613E7,39821.0,0,0,0,0,40,104,0.03344874488267652,0.06689748976535304,0.0,73.0,10.857142857142858,27.40698555373898,751.1428571428572,0,0,0,0,1,0,0,0,2.0,12.666666666666666,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,288,1,0,39971.0,212.13203435596427,40121.0,39821.0,2.9856217E7,2.1435623873618655E7,4.5013492E7,1.4698942E7,No Label
172.16.61.61-172.16.81.146-443-49935-6,172.16.81.146,49935,172.16.61.61,443,6,27/09/2021 02:33:41 pm,5150370,69,161,11450.0,208584.0,700.0,0.0,165.94202898550725,268.4545028852227,1460.0,0.0,1295.552795031056,397.19558942385544,42721.97919761105,44.65698580878656,22490.69868995633,328485.7329924389,4971412.0,0.0,178649.0,2627.191176470588,6032.759560775644,35143.0,13.0,5150370.0,32189.8125,395182.74045616237,4999415.0,0.0,0,0,0,0,1380,3244,13.397095742635967,31.25989006615059,0.0,1460.0,952.5281385281387,634.8089393054984,402982.389422172,0,1,0,0,0,0,0,0,2.0,956.6695652173913,165.94202898550725,1295.552795031056,0,0,0,0,0,0,69,11450,161,208584,-1,409,20,0,0,0,0,0,0,0,0,0,No Label
172.16.61.61-172.16.81.146-443-64806-6,172.16.81.146,64806,172.16.61.61,443,6,27/09/2021 02:33:41 pm,5122038,66,145,7629.0,191533.0,686.0,0.0,115.5909090909091,233.87563935843062,1460.0,0.0,1320.9172413793106,398.83656328696776,38883.35072875289,41.1945401420294,24390.657142857144,344063.02537056356,4986321.0,0.0,135491.0,2084.476923076923,6324.2358533158285,48387.0,11.0,5122038.0,35569.70833333333,416689.2399366262,5000813.0,0.0,0,0,0,0,1320,2924,12.885495968596874,28.30904417343253,0.0,1460.0,939.4433962264152,664.7566077082112,441901.3474917285,0,1,0,0,0,0,0,0,2.0,943.8957345971564,115.5909090909091,1320.9172413793103,0,0,0,0,0,0,66,7629,145,191533,-1,348,14,0,0,0,0,0,0,0,0,0,No Label
172.16.61.61-172.16.81.146-443-56277-6,172.16.81.146,56277,172.16.61.61,443,6,27/09/2021 02:33:41 pm,5148913,82,277,7067.0,382570.0,672.0,0.0,86.18292682926828,208.1632270301943,1460.0,0.0,1381.1191335740082,283.7449678324905,75673.64218428239,69.7234542514119,14382.438547486036,258388.55868390444,4888217.0,0.0,257169.0,3174.925925925926,13017.656311504174,106483.0,12.0,5148913.0,18655.481884057972,294780.6383455696,4896704.0,0.0,0,0,0,0,1640,5564,15.925691500322495,53.7977627510894,0.0,1460.0,1082.325,608.6674677369714,370476.08628133714,0,1,0,0,0,0,0,0,3.0,1085.3398328690807,86.1829268292683,1381.1191335740073,0,0,0,0,0,0,82,7067,277,382570,-1,341,13,0,0,0,0,0,0,0,0,0,No Label
172.16.61.61-172.16.81.146-443-54646-6,172.16.81.146,54646,172.16.61.61,443,6,27/09/2021 02:33:41 pm,5227516,67,150,14877.0,190191.0,754.0,0.0,222.04477611940302,310.4341257812523,1460.0,0.0,1267.94,410.45339524047006,39228.574336262194,41.51111158722422,24201.46296296296,337066.1113381496,4954531.0,0.0,272619.0,4130.590909090909,8865.329303575763,52013.0,11.0,5227516.0,35084.0,409972.0053508762,5005388.0,0.0,0,0,0,0,1340,3024,12.816794821861857,28.694316765362366,0.0,1460.0,940.6788990825685,618.5075672170658,382551.61070477316,0,1,0,0,0,0,0,0,2.0,945.0138248847926,222.044776119403,1267.94,0,0,0,0,0,0,67,14877,150,190191,-1,467,24,0,0,0,0,0,0,0,0,0,No Label
172.16.61.61-172.16.81.146-443-64490-6,172.16.81.146,64490,172.16.61.61,443,6,27/09/2021 02:33:41 pm,5228542,56,147,10244.0,191190.0,722.0,0.0,182.92857142857147,292.1394970117628,1460.0,0.0,1300.6122448979586,423.73433537102375,38525.84525475744,38.82535513724476,25883.87128712871,348725.63465192274,4956930.0,0.0,267858.0,4870.1454545454535,16564.138639462664,113941.0,15.0,5228542.0,35811.931506849316,414172.28345697845,5005352.0,0.0,0,0,0,0,1120,2964,10.710442796481313,28.114912340763446,0.0,1460.0,987.4215686274513,637.6763379997863,406631.11204481765,0,1,0,0,0,0,0,0,2.0,992.2857142857143,182.92857142857142,1300.6122448979593,0,0,0,0,0,0,56,10244,147,191190,-1,389,17,0,0,0,0,0,0,0,0,0,No Label
